saal,ostan,_sum,man,woman
92,آذربايجان شرقي,18265,9436,8829
92,آذربايجان غربي,17162,8778,8384
92,اردبيل,6156,3229,2927
92,اصفهان,19972,10217,9755
92,البرز,9517,4877,4640
92,ايلام,2830,1440,1390
92,بوشهر,5548,2922,2626
92,تهران,47097,24278,22819
92,چهارمحال وبختياري,4966,2546,2420
92,خراسان جنوبي,4359,2158,2201
92,خراسان رضوي,36405,18658,17747
92,خراسان شمالي,5115,2634,2481
92,خوزستان,28524,14676,13848
92,زنجان,5414,2773,2641
92,سمنان,2449,1259,1190
92,سيستان وبلوچستان,25907,13275,12632
92,فارس,21879,11229,10650
92,قزوين,5431,2777,2654
92,قم,5866,3017,2849
92,كردستان,7596,3917,3679
92,كرمان,15105,7647,7458
92,كرمانشاه,9159,4801,4358
92,كهگيلويه وبويراحمد,3982,2034,1948
92,گلستان,10549,5326,5223
92,گيلان,8333,4172,4161
92,لرستان,9499,4980,4519
92,مازندران,11224,5752,5472
92,مركزي,5631,2939,2692
92,هرمزگان,9977,5021,4956
92,همدان,8181,4211,3970
92,يزد,5693,2892,2801
