saal,ostan,_sum,man,woman
95,آذربايجان شرقي,16767,8739,8028
95,آذربايجان غربي,16295,8446,7849
95,اردبيل,5628,2941,2687
95,اصفهان,19962,10225,9737
95,البرز,9818,5131,4687
95,ايلام,2584,1363,1221
95,بوشهر,5714,2894,2820
95,تهران,48714,25033,23681
95,چهارمحال وبختياري,4982,2588,2394
95,خراسان جنوبي,4386,2305,2081
95,خراسان رضوي,35524,18143,17381
95,خراسان شمالي,4747,2438,2309
95,خوزستان,27876,14378,13498
95,زنجان,5017,2538,2479
95,سمنان,2555,1307,1248
95,سيستان وبلوچستان,23745,12187,11558
95,فارس,21455,10988,10467
95,قزوين,4958,2561,2397
95,قم,6552,3415,3137
95,كردستان,7367,3773,3594
95,كرمان,14781,7588,7193
95,كرمانشاه,8621,4574,4047
95,كهگيلويه وبويراحمد,3835,1905,1930
95,گلستان,9624,4940,4684
95,گيلان,7356,3814,3542
95,لرستان,8650,4490,4160
95,مازندران,10815,5593,5222
95,مركزي,5242,2713,2529
95,هرمزگان,10641,5466,5175
95,همدان,7744,3984,3760
95,يزد,6065,3145,2920
