saal,ostan,_sum,man,woman
93,آذربايجان شرقي,18339,9439,8900
93,آذربايجان غربي,17724,9121,8603
93,اردبيل,6382,3361,3021
93,اصفهان,21041,10724,10317
93,البرز,10317,5326,4991
93,ايلام,2681,1380,1301
93,بوشهر,5826,3017,2809
93,تهران,50708,26074,24634
93,چهارمحال وبختياري,5154,2638,2516
93,خراسان جنوبي,4727,2407,2320
93,خراسان رضوي,38986,20016,18970
93,خراسان شمالي,5178,2579,2599
93,خوزستان,28721,14559,14162
93,زنجان,5544,2836,2708
93,سمنان,2721,1404,1317
93,سيستان وبلوچستان,26952,13792,13160
93,فارس,22993,11821,11172
93,قزوين,5930,3085,2845
93,قم,6689,3391,3298
93,كردستان,7824,3988,3836
93,كرمان,16552,8490,8062
93,كرمانشاه,9564,5003,4561
93,كهگيلويه وبويراحمد,4036,2086,1950
93,گلستان,10972,5524,5448
93,گيلان,8190,4097,4093
93,لرستان,9647,5081,4566
93,مازندران,11644,5940,5704
93,مركزي,5855,2909,2946
93,هرمزگان,10607,5485,5122
93,همدان,8552,4418,4134
93,يزد,6375,3209,3166
