saal,ostan,_sum,man,woman
97,آذربايجان شرقي,14197,7479,6718
97,آذربايجان غربي,14353,7378,6975
97,اردبيل,5006,2649,2357
97,اصفهان,16691,8550,8141
97,البرز,8197,4252,3945
97,ايلام,2363,1240,1123
97,بوشهر,4676,2504,2172
97,تهران,42493,21931,20562
97,چهارمحال وبختياري,4298,2164,2134
97,خراسان جنوبي,4072,2115,1957
97,خراسان رضوي,30882,15800,15082
97,خراسان شمالي,4121,2125,1996
97,خوزستان,26556,13507,13049
97,زنجان,4364,2302,2062
97,سمنان,2175,1136,1039
97,سيستان وبلوچستان,22065,11252,10813
97,فارس,17444,9001,8443
97,قزوين,4347,2227,2120
97,قم,5401,2770,2631
97,كردستان,6299,3271,3028
97,كرمان,12934,6616,6318
97,كرمانشاه,7222,3763,3459
97,كهگيلويه وبويراحمد,3255,1668,1587
97,گلستان,8612,4432,4180
97,گيلان,6383,3308,3075
97,لرستان,7373,3924,3449
97,مازندران,9472,4845,4627
97,مركزي,4272,2191,2081
97,هرمزگان,9052,4620,4432
97,همدان,6588,3401,3187
97,يزد,5178,2665,2513
